polymer,1550.0000,1553.1496,1556.2992,1559.4488,1562.5984,1565.7480,1568.8976,1572.0472,1575.1969,1578.3465,1581.4961,1584.6457,1587.7953,1590.9449,1594.0945,1597.2441,1600.3937,1603.5433,1606.6929,1609.8425,1612.9921,1616.1417,1619.2913,1622.4409,1625.5906,1628.7402,1631.8898,1635.0394,1638.1890,1641.3386,1644.4882,1647.6378,1650.7874,1653.9370,1657.0866,1660.2362,1663.3858,1666.5354,1669.6850,1672.8346,1675.9843,1679.1339,1682.2835,1685.4331,1688.5827,1691.7323,1694.8819,1698.0315,1701.1811,1704.3307,1707.4803,1710.6299,1713.7795,1716.9291,1720.0787,1723.2283,1726.3780,1729.5276,1732.6772,1735.8268,1738.9764,1742.1260,1745.2756,1748.4252,1751.5748,1754.7244,1757.8740,1761.0236,1764.1732,1767.3228,1770.4724,1773.6220,1776.7717,1779.9213,1783.0709,1786.2205,1789.3701,1792.5197,1795.6693,1798.8189,1801.9685,1805.1181,1808.2677,1811.4173,1814.5669,1817.7165,1820.8661,1824.0157,1827.1654,1830.3150,1833.4646,1836.6142,1839.7638,1842.9134,1846.0630,1849.2126,1852.3622,1855.5118,1858.6614,1861.8110,1864.9606,1868.1102,1871.2598,1874.4094,1877.5591,1880.7087,1883.8583,1887.0079,1890.1575,1893.3071,1896.4567,1899.6063,1902.7559,1905.9055,1909.0551,1912.2047,1915.3543,1918.5039,1921.6535,1924.8031,1927.9528,1931.1024,1934.2520,1937.4016,1940.5512,1943.7008,1946.8504,1950.0000
HDPE,55388,55337,55435,55666,56010,56447,56962,57543,58185,58885,59640,60440,61266,62088,62866,63556,64113,64504,64712,64743,64629,64422,64189,64002,63920,63982,64193,64525,64915,65277,65514,65535,65272,64691,63801,62649,61312,59879,58434,57033,55690,54365,52968,51369,49418,46971,43919,40210,35872,31012,25817,20531,15428,10780,6824,3728,1579,368,0,310,1091,2125,3211,4194,4979,5540,5911,6174,6434,6800,7359,8158,9202,10443,11798,13157,14404,15435,16172,16577,16655,16451,16042,15529,15016,14605,14378,14394,14685,15256,16092,17162,18428,19848,21387,23014,24707,26449,28228,30032,31847,33657,35440,37171,38821,40362,41768,43019,44104,45022,45786,46418,46954,47436,47911,48426,49023,49734,50575,51543,52617,53756,54900,55981,56924,57654,58111,58247
HDPE,54916,54896,55038,55323,55729,56231,56811,57454,58149,58894,59680,60500,61336,62159,62933,63617,64169,64558,64769,64806,64701,64502,64275,64088,63999,64047,64238,64548,64919,65267,65502,65535,65299,64761,63927,62840,61572,60209,58829,57486,56189,54900,53526,51937,49984,47522,44440,40688,36292,31362,26088,20717,15532,10813,6802,3675,1520,328,0,360,1189,2254,3343,4291,5000,5446,5673,5777,5882,6117,6584,7343,8400,9704,11159,12636,13997,15117,15904,16308,16333,16033,15500,14851,14214,13704,13414,13407,13708,14310,15179,16268,17522,18893,20343,21851,23410,25023,26698,28441,30250,32110,33990,35848,37634,39292,40775,42046,43085,43895,44501,44946,45291,45606,45961,46419,47033,47831,48822,49987,51288,52663,54036,55324,56441,57311,57866,58060
HDPE,54965,54998,55286,55783,56427,57155,57909,58646,59338,59977,60572,61136,61686,62231,62769,63285,63754,64145,64433,64600,64648,64597,64484,64361,64278,64280,64389,64604,64892,65195,65436,65535,65417,65032,64361,63420,62253,60928,59513,58067,56616,55146,53597,51869,49837,47369,44356,40735,36508,31755,26632,21363,16210,11450,7334,4060,1746,416,0,344,1240,2452,3750,4945,5909,6587,7000,7228,7392,7626,8049,8741,9728,10979,12406,13885,15275,16439,17275,17721,17776,17490,16962,16319,15701,15235,15023,15129,15574,16339,17376,18618,19996,21449,22938,24444,25971,27536,29165,30876,32674,34546,36455,38347,40159,41823,43283,44504,45473,46209,46753,47171,47534,47918,48385,48981,49725,50616,51624,52707,53808,54870,55837,56663,57309,57750,57970,57958
HDPE,55595,55550,55742,56128,56660,57283,57952,58632,59304,59962,60614,61268,61930,62597,63253,63867,64404,64826,65104,65226,65199,65057,64851,64643,64493,64449,64534,64737,65016,65300,65503,65535,65322,64819,64019,62953,61688,60306,58892,57508,56179,54877,53525,51998,50145,47814,44880,41274,37002,32158,26917,21523,16262,11425,7270,3993,1701,400,0,329,1166,2270,3417,4433,5213,5728,6024,6202,6391,6726,7312,8207,9409,10857,12437,14007,15416,16536,17274,17594,17519,17125,16530,15871,15289,14901,14795,15011,15551,16380,17441,18668,20002,21402,22848,24345,25917,27591,29394,31337,33407,35563,37745,39870,41855,43620,45107,46288,47166,47782,48202,48510,48797,49144,49616,50248,51046,51988,53029,54109,55163,56130,56961,57620,58090,58362,58438,58324
HDPE,50182,50138,50552,51341,52393,53591,54826,56009,57084,58027,58844,59559,60207,60815,61399,61958,62472,62913,63252,63469,63564,63559,63497,63436,63436,63545,63788,64154,64598,65042,65388,65535,65395,64916,64087,62944,61564,60047,58497,57000,55595,54270,52946,51494,49751,47544,44730,41219,37005,32175,26907,21457,16124,11219,7020,3737,1484,271,0,486,1490,2751,4030,5138,5959,6464,6701,6781,6846,7044,7499,8281,9400,10803,12380,13987,15469,16687,17536,17966,17984,17653,17081,16400,15749,15255,15014,15086,15489,16206,17192,18388,19733,21175,22678,24225,25816,27460,29172,30957,32813,34717,36631,38504,40275,41885,43282,44433,45324,45968,46399,46671,46852,47013,47222,47536,47993,48612,49387,50293,51282,52296,53266,54121,54792,55217,55348,55148
HDPE,55815,55769,55898,56179,56582,57077,57635,58235,58861,59505,60164,60832,61501,62156,62773,63325,63785,64129,64347,64441,64433,64360,64271,64214,64232,64350,64567,64855,65162,65414,65535,65450,65110,64492,63609,62510,61263,59950,58642,57383,56176,54974,53682,52168,50278,47869,44828,41105,36722,31787,26487,21070,15820,11023,6929,3727,1518,305,0,434,1389,2630,3933,5119,6075,6758,7198,7479,7719,8042,8554,9323,10360,11625,13029,14449,15752,16816,17549,17905,17889,17559,17009,16362,15746,15281,15058,15136,15535,16240,17210,18391,19724,21158,22659,24209,25807,27465,29193,31001,32883,34820,36772,38689,40512,42183,43655,44898,45904,46691,47297,47779,48201,48629,49119,49712,50431,51274,52222,53240,54281,55293,56225,57031,57673,58120,58351,58352
HDPE,55953,55856,55923,56137,56477,56923,57455,58060,58728,59450,60219,61021,61837,62634,63376,64020,64526,64863,65016,64996,64832,64577,64299,64065,63939,63958,64133,64439,64819,65191,65459,65535,65345,64853,64061,63007,61765,60420,59055,57729,56457,55205,53883,52360,50480,48088,45063,41340,36935,31952,26579,21073,15731,10854,6710,3497,1324,191,0,563,1641,2972,4312,5469,6321,6836,7057,7096,7102,7231,7614,8336,9414,10798,12378,14003,15504,16727,17553,17921,17833,17357,16612,15752,14940,14325,14023,14104,14585,15438,16595,17970,19473,21025,22573,24093,25590,27093,28639,30267,32001,33842,35768,37729,39660,41485,43133,44549,45700,46585,47233,47700,48056,48382,48755,49237,49869,50667,51619,52694,53840,54994,56091,57066,57863,58435,58746,58772
HDPE,55323,55308,55534,55957,56518,57156,57821,58473,59097,59689,60263,60833,61411,61997,62575,63117,63583,63935,64145,64203,64126,63954,63749,63579,63511,63592,63834,64215,64672,65115,65437,65535,65328,64774,63880,62696,61312,59834,58366,56981,55701,54490,53250,51831,50059,47760,44800,41109,36706,31705,26309,20791,15459,10620,6536,3396,1288,195,0,509,1483,2676,3866,4890,5659,6160,6452,6644,6865,7242,7869,8789,9988,11400,12911,14389,15699,16726,17399,17691,17628,17282,16757,16170,15640,15268,15130,15268,15693,16391,17329,18466,19764,21189,22719,24342,26054,27851,29727,31667,33647,35631,37577,39436,41163,42718,44074,45221,46165,46927,47544,48060,48525,48988,49492,50071,50744,51519,52387,53328,54308,55284,56209,57032,57704,58181,58426,58414
HDPE,54465,54514,54814,55315,55956,56673,57412,58136,58828,59493,60148,60813,61504,62222,62949,63648,64271,64764,65086,65214,65154,64943,64644,64335,64098,63997,64067,64304,64662,65057,65384,65535,65415,64966,64174,63075,61745,60286,58800,57370,56032,54764,53481,52046,50290,48037,45145,41531,37198,32244,26863,21319,15923,10990,6797,3550,1354,207,0,539,1579,2859,4142,5244,6060,6568,6823,6938,7054,7312,7823,8647,9781,11161,12674,14178,15525,16590,17287,17586,17512,17140,16587,15983,15459,15127,15064,15308,15859,16683,17728,18932,20240,21611,23023,24472,25973,27544,29201,30954,32791,34685,36592,38454,40212,41811,43208,44382,45336,46093,46697,47203,47673,48164,48720,49371,50127,50980,51904,52864,53816,54716,55523,56202,56726,57075,57238,57206
